ADM3_PCODE,elev_min,elev_max,elev_mean,elev_std,elev_median
NP0322401,0.0,5998.0,3495.6245765436065,1102.3955275793069,3579.0
NP0322402,0.0,6924.0,3765.715708445197,1427.3482914586552,3851.0
NP0322403,882.0,3720.0,2099.997994729002,672.4766315067336,2009.0
NP0322404,853.0,3008.0,1689.3100321178915,415.0931060012702,1654.0
NP0322405,835.0,3106.0,2003.6102967253812,411.0987468622703,2017.5
NP0322406,635.0,3012.0,1617.51877583326,492.1766417584065,1612.0
NP0322407,586.0,2443.0,1507.8018326545723,478.23254080069074,1486.0
NP0323301,715.0,2458.0,1383.0657664888342,367.56517599442026,1349.0
NP0323302,628.0,2526.0,1241.2041041178902,306.78311156997756,1224.0
NP0323303,795.0,3620.0,1877.8859925684044,574.0827647984089,1867.5
NP0323401,926.0,5740.0,2909.9366458646023,1218.688813150232,2635.0
NP0323402,896.0,5799.0,3071.718768430182,1146.2449981534132,2959.0
NP0323403,0.0,6902.0,3436.7862574101578,1322.3097924606852,3390.0
NP0323404,0.0,5462.0,2807.1111232160365,809.2067584780048,2790.0
NP0323405,658.0,2826.0,1242.2777055338825,362.7290527855678,1185.0
NP0323406,686.0,2433.0,1290.1968931081249,370.2426083293571,1224.0
NP0323407,647.0,2261.0,1324.5936035003647,335.4796544759058,1321.0
NP0323408,771.0,3715.0,2026.7707293511512,647.6716497222213,1937.0
NP0323409,918.0,2745.0,1881.3494764397906,270.91627265319437,1872.5
NP0324301,633.0,2130.0,1114.0631479736098,311.21706061457684,1039.0
NP0324302,1238.0,2158.0,1636.8178019222732,152.56376053533444,1607.0
NP0324303,868.0,1900.0,1351.7913019313603,217.32702177654213,1380.0
NP0324304,609.0,1643.0,998.2343784581335,161.23244728273195,962.0
NP0324305,1304.0,2828.0,1812.4587138263666,326.70439070570256,1722.0
NP0324306,778.0,2020.0,1337.6546805349183,219.8416434927769,1329.0
NP0324401,601.0,2245.0,1286.284894837476,413.5831119558513,1249.0
NP0324402,574.0,2242.0,1333.9569608452455,374.99840233306935,1323.0
NP0324403,747.0,2921.0,1980.1877824645978,389.78802778274957,1966.0
NP0324404,593.0,2791.0,1500.8351463351464,408.5372596738543,1465.0
NP0324405,536.0,2039.0,1170.2041952054794,362.60119064673194,1143.0
NP0324406,286.0,2878.0,1264.2702937095282,582.7183723836637,1170.0
NP0324407,328.0,2619.0,1208.6790476969647,503.55575722088275,1145.5
NP0325101,1252.0,1434.0,1328.7694087944456,33.24479420431241,1328.0
NP0325301,1121.0,2681.0,1644.8503083979124,258.09406438850175,1575.0
NP0325302,1294.0,2103.0,1502.943347639485,231.74650004090904,1370.0
NP0325401,469.0,2444.0,1311.256670988876,420.352684727715,1295.0
NP0325402,1053.0,2608.0,1793.4403242497413,273.6553373848801,1798.0
NP0325403,421.0,2814.0,1732.498755186722,496.8597711650954,1789.0
NP0326301,1292.0,1366.0,1320.6689513365318,14.873953007325111,1317.0
NP0326302,1307.0,2144.0,1481.9533285094067,179.51884119423462,1390.0
NP0326303,1305.0,1360.0,1328.0034682080925,12.976055743314822,1325.0
NP0326304,1297.0,2028.0,1467.4886586890516,160.04419767622932,1401.0
NP0327101,1278.0,1403.0,1315.8663601532567,17.380243622018394,1313.0
NP0327301,1183.0,2287.0,1495.6623885142485,217.79617792806346,1396.0
NP0327302,1305.0,2291.0,1489.5204444444444,231.7016986074557,1368.0
NP0327303,1309.0,2717.0,1620.2714814009137,332.90361695821446,1449.0
NP0327304,1310.0,2694.0,1815.5132398753894,363.705049116801,1880.0
NP0327305,1112.0,2080.0,1496.1067787971458,173.27394467455144,1450.0
NP0327306,1304.0,2251.0,1474.7600443336105,224.61895211394116,1370.0
NP0327307,848.0,2371.0,1527.5408266129032,272.3735239314439,1511.5
NP0327308,1235.0,2532.0,1616.0907362599378,271.6993364807556,1519.0
NP0327309,1263.0,2243.0,1382.2640536358947,143.06354651584303,1350.0
NP0327310,1167.0,2503.0,1656.4395017793595,276.44980895955257,1623.0
NP0328301,444.0,1887.0,861.9214806178957,281.0882040314165,821.0
NP0328302,415.0,2061.0,1079.668436434486,379.6454480785991,1020.0
NP0328401,755.0,3198.0,1672.796534117283,410.29329890363846,1631.0
NP0328402,625.0,3607.0,1965.201339203816,718.1349002856612,1974.0
NP0328403,418.0,1992.0,1031.8183241156214,355.36962233098046,973.0
NP0328404,555.0,2343.0,1099.1943201111283,332.0737199004506,1056.0
NP0328405,599.0,3827.0,1539.191224268689,642.0706462590846,1397.0
NP0328406,509.0,1263.0,701.3972472710014,140.30960946141374,670.0
NP0328407,587.0,2013.0,1086.9585345072423,319.00133277352626,1054.0
NP0328408,834.0,3333.0,1852.4793597789164,474.1461289585077,1814.0
NP0328409,560.0,2146.0,1371.937327586207,347.42538462598463,1364.0
NP0328410,627.0,2496.0,1411.7900082144724,383.50892586949544,1409.0
NP0328596,1526.0,2722.0,2092.104404065291,216.92926356707375,2086.0
NP0328597,1715.0,5038.0,3316.4257992819284,715.2219004674992,3241.0
NP0329401,0.0,6696.0,3389.4105501776744,1036.9364078919994,3334.0
NP0329402,0.0,7203.0,4215.645522532346,1204.1597626275964,4430.0
NP0329403,609.0,4020.0,2397.245719396882,870.2205042258885,2475.0
NP0329404,654.0,3299.0,1720.4300462798149,611.9685330190727,1638.0
NP0329405,793.0,4544.0,2358.2379992194615,806.5391675463245,2303.0
NP0330301,444.0,1893.0,1007.9311886628017,263.34227939183967,996.0
NP0330302,754.0,2406.0,1330.903905289053,366.9676738741923,1229.0
NP0330401,0.0,7019.0,3379.228077669212,1126.6698027363198,3296.0
NP0330402,511.0,3192.0,1545.5425968828981,644.8410361123265,1418.0
NP0330403,611.0,4027.0,1960.4997123130036,724.396903831525,1895.0
NP0330404,404.0,1500.0,788.7454529164054,220.77355832672458,767.0
NP0330405,546.0,2215.0,1257.8220957698088,336.1006453205857,1235.0
NP0330406,345.0,1352.0,827.6597827544589,207.64726678583372,838.0
NP0330407,323.0,1547.0,779.6939473871819,260.15078422930105,757.0
NP0330408,279.0,2234.0,991.9447033354127,385.42807433663,939.0
NP0330409,355.0,2339.0,1108.8625742142817,498.57057782500243,974.0
NP0330410,384.0,2156.0,888.6158805131805,320.62599939955544,852.0
NP0330411,495.0,2261.0,1023.8279867256637,295.906489959551,973.0
NP0331201,348.0,1808.0,595.8839306492902,194.3188733871107,532.0
NP0331301,853.0,2579.0,1853.4306157331955,318.68296381238554,1865.0
NP0331401,245.0,1033.0,532.8931172545281,143.66221124650372,528.0
NP0331402,310.0,2075.0,935.865029647248,359.6279671243795,897.0
NP0331403,402.0,2574.0,1261.1573509736882,426.37605691723934,1211.0
NP0331404,469.0,2571.0,1399.9493415956622,438.1581049481906,1367.0
NP0331405,1037.0,2532.0,1767.5646433872353,290.81738498022025,1790.0
NP0331406,304.0,2477.0,1033.157447679476,435.7362532653635,924.0
